Activity Date,Process Date,Settle Date,Instrument,Description,Trans Code,Quantity,Price,Amount,
2/11/2022,2/11/2022,2/15/2022,AAPL,"Apple
CUSIP: 037833100
Bulk Equity Order Allocation Execution",Buy,0.011721,$172.35 ,($2.02),
2/10/2022,2/10/2022,2/10/2022,AAPL,Cash Div: R/D 2022-02-07 P/D 2022-02-10 - 9.17786 shares at 0.22,CDIV,,,$2.02 ,
2/2/2022,2/2/2022,2/2/2022,,Price Correction Credits,MISC,,,$0.25 ,
1/3/2022,1/3/2022,1/5/2022,NOBL,"ProShares S&P 500 Dividend Aristocrats ETF
CUSIP: 74348A467
Bulk Equity Order Allocation Execution",Buy,0.026417,$98.42 ,($2.60),
12/31/2021,12/31/2021,12/31/2021,NOBL,Cash Div: R/D 2021-12-27 P/D 2021-12-31 - 4.105668 shares at 0.633571,CDIV,,,$2.60 ,
12/31/2021,12/31/2021,1/4/2022,VNQ,"Vanguard US REIT fund
CUSIP: 922908553
Bulk Equity Order Allocation Execution",Buy,0.0285,$115.79 ,($3.30),
12/30/2021,12/30/2021,12/30/2021,VNQ,Cash Div: R/D 2021-12-28 P/D 2021-12-30 - 3.129514 shares at 1.0531,CDIV,,,$3.30 ,
12/10/2021,12/10/2021,12/14/2021,MSFT,"Microsoft
CUSIP: 594918104
Bulk Equity Order Allocation Execution",Buy,0.009361,$335.42 ,($3.14),
12/9/2021,12/9/2021,12/9/2021,MSFT,Cash Div: R/D 2021-11-18 P/D 2021-12-09 - 5.058078 shares at 0.62,CDIV,,,$3.14 ,
11/15/2021,11/15/2021,11/17/2021,AAPL,"Apple
CUSIP: 037833100
Bulk Equity Order Allocation Execution",Buy,0.013429,$150.42 ,($2.02),
11/12/2021,11/12/2021,11/12/2021,AAPL,Cash Div: R/D 2021-11-08 P/D 2021-11-11 - 9.164431 shares at 0.22,CDIV,,,$2.02 ,
9/30/2021,9/30/2021,10/4/2021,NOBL,"ProShares S&P 500 Dividend Aristocrats ETF
CUSIP: 74348A467
Bulk Equity Order Allocation Execution",Buy,0.018657,$90.58 ,($1.69),
9/30/2021,9/30/2021,10/4/2021,VNQ,"Vanguard US REIT fund
CUSIP: 922908553
Bulk Equity Order Allocation Execution",Buy,0.019631,$103.92 ,($2.04),
9/29/2021,9/29/2021,9/29/2021,VNQ,Cash Div: R/D 2021-09-27 P/D 2021-09-29 - 3.109883 shares at 0.657,CDIV,,,$2.04 ,
9/29/2021,9/29/2021,9/29/2021,NOBL,Cash Div: R/D 2021-09-23 P/D 2021-09-29 - 4.087011 shares at 0.413424,CDIV,,,$1.69 ,
9/13/2021,9/13/2021,9/15/2021,AMZN,"Amazon
CUSIP: 023135106",Buy,0.006401,"$3,461.56 ",($22.16),
9/13/2021,9/13/2021,9/15/2021,QS,"QuantumScape
CUSIP: 74767V109",Sell,0.008915,$21.28 ,$0.19 ,
9/13/2021,9/13/2021,9/15/2021,QS,"QuantumScape
CUSIP: 74767V109",Sell,1,$21.28 ,$21.28 ,
9/10/2021,9/10/2021,9/14/2021,MSFT,"Microsoft
CUSIP: 594918104
Bulk Equity Order Allocation Execution",Buy,0.009473,$298.74 ,($2.83),
9/9/2021,9/9/2021,9/9/2021,MSFT,Cash Div: R/D 2021-08-19 P/D 2021-09-09 - 5.048605 shares at 0.56,CDIV,,,$2.83 ,
8/13/2021,8/13/2021,8/17/2021,AAPL,"Apple
CUSIP: 037833100
Bulk Equity Order Allocation Execution",Buy,0.013494,$148.95 ,($2.01),
8/12/2021,8/12/2021,8/12/2021,AAPL,Cash Div: R/D 2021-08-09 P/D 2021-08-12 - 9.150937 shares at 0.22,CDIV,,,$2.01 ,
6/30/2021,6/30/2021,7/2/2021,NOBL,"ProShares S&P 500 Dividend Aristocrats ETF
CUSIP: 74348A467
Bulk Equity Order Allocation Execution",Buy,0.019684,$90.43 ,($1.78),
6/30/2021,6/30/2021,7/2/2021,VNQ,"Vanguard US REIT fund
CUSIP: 922908553
Bulk Equity Order Allocation Execution",Buy,0.021981,$102.36 ,($2.25),
6/29/2021,6/29/2021,6/29/2021,NOBL,Cash Div: R/D 2021-06-23 P/D 2021-06-29 - 4.067327 shares at 0.437185,CDIV,,,$1.78 ,
6/29/2021,6/29/2021,6/29/2021,VNQ,Cash Div: R/D 2021-06-25 P/D 2021-06-29 - 3.087902 shares at 0.7291,CDIV,,,$2.25 ,
6/11/2021,6/11/2021,6/15/2021,MSFT,"Microsoft
CUSIP: 594918104
Bulk Equity Order Allocation Execution",Buy,0.010933,$257.93 ,($2.82),
6/10/2021,6/10/2021,6/10/2021,MSFT,Cash Div: R/D 2021-05-20 P/D 2021-06-10 - 5.037672 shares at 0.56,CDIV,,,$2.82 ,
5/14/2021,5/14/2021,5/18/2021,AAPL,"Apple
CUSIP: 037833100
Bulk Equity Order Allocation Execution",Buy,0.015909,$126.34 ,($2.01),
5/13/2021,5/13/2021,5/13/2021,AAPL,Cash Div: R/D 2021-05-10 P/D 2021-05-13 - 9.135028 shares at 0.22,CDIV,,,$2.01 ,
3/31/2021,3/31/2021,4/5/2021,NOBL,"ProShares S&P 500 Dividend Aristocrats ETF
CUSIP: 74348A467
Bulk Equity Order Allocation Execution",Buy,0.017558,$86.57 ,($1.52),
3/31/2021,3/31/2021,4/5/2021,VNQ,"Vanguard US REIT fund
CUSIP: 922908553
Bulk Equity Order Allocation Execution",Buy,0.017529,$92.42 ,($1.62),
3/30/2021,3/30/2021,3/30/2021,NOBL,Cash Div: R/D 2021-03-24 P/D 2021-03-30 - 4.049769 shares at 0.376026,CDIV,,,$1.52 ,
3/30/2021,3/30/2021,3/30/2021,VNQ,Cash Div: R/D 2021-03-26 P/D 2021-03-30 - 3.070373 shares at 0.5264,CDIV,,,$1.62 ,
3/12/2021,3/12/2021,3/16/2021,MSFT,"Microsoft
CUSIP: 594918104
Bulk Equity Order Allocation Execution",Buy,0.012009,$234.00 ,($2.81),
3/11/2021,3/11/2021,3/11/2021,MSFT,Cash Div: R/D 2021-02-18 P/D 2021-03-11 - 5.025663 shares at 0.56,CDIV,,,$2.81 ,
2/12/2021,2/12/2021,2/17/2021,AAPL,"Apple
CUSIP: 037833100
Bulk Equity Order Allocation Execution",Buy,0.013926,$134.28 ,($1.87),
2/11/2021,2/11/2021,2/11/2021,AAPL,Cash Div: R/D 2021-02-08 P/D 2021-02-11 - 9.121102 shares at 0.205,CDIV,,,$1.87 ,
1/4/2021,1/4/2021,1/6/2021,NOBL,"ProShares S&P 500 Dividend Aristocrats ETF
CUSIP: 74348A467
Bulk Equity Order Allocation Execution",Buy,0.026841,$80.10 ,($2.15),
12/31/2020,12/31/2020,12/31/2020,NOBL,Cash Div: R/D 2020-12-24 P/D 2020-12-31 - 4.022928 shares at 0.534768,CDIV,,,$2.15 ,
12/31/2020,12/31/2020,1/5/2021,VNQ,"Vanguard US REIT fund
CUSIP: 922908553
Bulk Equity Order Allocation Execution",Buy,0.048044,$84.09 ,($4.04),
12/30/2020,12/30/2020,12/30/2020,VNQ,Cash Div: R/D 2020-12-28 P/D 2020-12-30 - 3.022329 shares at 1.3377,CDIV,,,$4.04 ,
12/23/2020,12/23/2020,12/28/2020,QS,"QuantumScape
CUSIP: 74767V109",Buy,1,$112.26 ,($112.27),
12/23/2020,12/23/2020,12/28/2020,QS,"QuantumScape
CUSIP: 74767V109",Buy,0.008915,$112.17 ,($1.00),
12/22/2020,12/22/2020,12/23/2020,AAPL,AAPL 12/24/2020 Call $135.00,STC,1,$0.60 ,$59.98 ,
12/22/2020,12/22/2020,12/23/2020,AAPL,AAPL 12/24/2020 Call $135.00,STC,1,$0.60 ,$59.98 ,
12/22/2020,12/22/2020,12/23/2020,AAPL,AAPL 12/24/2020 Call $135.00,BTO,1,$0.43 ,($43.00),
12/22/2020,12/22/2020,12/23/2020,AAPL,AAPL 12/24/2020 Call $135.00,BTO,1,$0.43 ,($43.00),
12/18/2020,12/18/2020,12/18/2020,,ACH Deposit,ACH,,,$100.00 ,
12/11/2020,12/11/2020,12/15/2020,MSFT,"Microsoft
CUSIP: 594918104
Bulk Equity Order Allocation Execution",Buy,0.013368,$210.20 ,($2.81),
12/10/2020,12/10/2020,12/10/2020,MSFT,Cash Div: R/D 2020-11-19 P/D 2020-12-10 - 5.012295 shares at 0.56,CDIV,,,$2.81 ,
11/13/2020,11/13/2020,11/17/2020,AAPL,"Apple
CUSIP: 037833100
Bulk Equity Order Allocation Execution",Buy,0.015658,$119.43 ,($1.87),
11/12/2020,11/12/2020,11/12/2020,AAPL,Cash Div: R/D 2020-11-09 P/D 2020-11-12 - 9.105444 shares at 0.205,CDIV,,,$1.87 ,
10/6/2020,10/6/2020,10/6/2020,,ACH Deposit,ACH,,,$200.00 ,
10/6/2020,10/6/2020,10/8/2020,AMZN,"Amazon
CUSIP: 023135106",Buy,0.064226,"$3,113.98 ",($200.00),
10/1/2020,10/1/2020,10/5/2020,VNQ,"Vanguard US REIT fund
CUSIP: 922908553
Bulk Equity Order Allocation Execution",Buy,0.022329,$79.27 ,($1.77),
10/1/2020,10/1/2020,10/5/2020,NOBL,"ProShares S&P 500 Dividend Aristocrats ETF
CUSIP: 74348A467
Bulk Equity Order Allocation Execution",Buy,0.022928,$72.40 ,($1.66),
9/30/2020,9/30/2020,9/30/2020,VNQ,Cash Div: R/D 2020-09-28 P/D 2020-09-30 - 3 shares at 0.5901,CDIV,,,$1.77 ,
9/30/2020,9/30/2020,9/30/2020,NOBL,Cash Div: R/D 2020-09-24 P/D 2020-09-30 - 4 shares at 0.415076,CDIV,,,$1.66 ,
9/11/2020,9/15/2020,9/15/2020,MSFT,"Microsoft
CUSIP: 594918104
Bulk Equity Order Allocation Execution",Buy,0.012295,$207.40 ,($2.55),
9/11/2020,9/15/2020,9/15/2020,MSFT,"Microsoft
CUSIP: 594918104
Price correction for MSFT DRIP",BCXL,0.011949,$213.40 ,$2.55 ,
9/11/2020,9/11/2020,9/15/2020,MSFT,"Microsoft
CUSIP: 594918104
Bulk Equity Order Allocation Execution",Buy,0.011949,$213.40 ,($2.55),
9/10/2020,9/10/2020,9/10/2020,MSFT,Cash Div: R/D 2020-08-20 P/D 2020-09-10 - 5 shares at 0.51,CDIV,,,$2.55 ,
8/31/2020,8/31/2020,8/31/2020,AAPL,"Apple
CUSIP: 037833100",SPL,6.8291,,,
8/27/2020,8/27/2020,8/31/2020,AMZN,"Amazon
CUSIP: 023135106",Buy,0.012206,"$3,446.58 ",($42.07),
8/27/2020,8/27/2020,8/31/2020,AMZN,"Amazon
CUSIP: 023135106",Buy,0.000008,"$3,446.58 ",($0.03),
8/13/2020,8/13/2020,8/13/2020,AAPL,Cash Div: R/D 2020-08-10 P/D 2020-08-13 - 2.276361 shares at 0.82,CDIV,,,$1.87 ,
8/12/2020,8/12/2020,8/12/2020,BEPC,CIL on 0.858 @ $46.20 - BEPC,CIL,,,$39.62 ,
8/6/2020,8/6/2020,8/10/2020,AAPL,"Apple
CUSIP: 037833100",Buy,0.837187,$455.10 ,($381.00),
8/6/2020,8/6/2020,8/10/2020,BEPC,"Brookfield Renewable Class A
CUSIP: 11284V105",Sell,2,$46.00 ,$92.00 ,
8/6/2020,8/6/2020,8/10/2020,AAPL,"Apple
CUSIP: 037833100",Buy,1,$455.47 ,($455.47),
8/6/2020,8/6/2020,8/10/2020,AAPL,"Apple
CUSIP: 037833100",Buy,0.439174,$455.40 ,($200.00),
8/6/2020,8/6/2020,8/6/2020,,ACH Deposit,ACH,,,$189.32 ,
8/5/2020,8/5/2020,8/5/2020,TERP,"TerraForm Power
CUSIP: 88104R209",MRGS,6S,,,
8/5/2020,8/5/2020,8/5/2020,BEPC,"Brookfield Renewable Class A
CUSIP: 11284V105",MRGS,2,,,
7/9/2020,7/9/2020,7/13/2020,MSFT,"Microsoft
CUSIP: 594918104",Buy,1,$213.68 ,($213.68),
7/9/2020,7/9/2020,7/9/2020,,ACH Deposit,ACH,,,$207.93 ,
7/1/2020,7/1/2020,7/1/2020,NOBL,Cash Div: R/D 2020-06-25 P/D 2020-07-01 - 4 shares at 0.413303,CDIV,,,$1.65 ,
6/30/2020,6/30/2020,6/30/2020,VNQ,Cash Div: R/D 2020-06-26 P/D 2020-06-30 - 3 shares at 0.7586,CDIV,,,$2.28 ,
6/15/2020,6/15/2020,6/15/2020,TERP,Cash Div: R/D 2020-06-01 P/D 2020-06-15 - 6 shares at 0.2014,CDIV,,,$1.21 ,
6/11/2020,6/11/2020,6/11/2020,MSFT,Cash Div: R/D 2020-05-21 P/D 2020-06-11 - 4 shares at 0.51,CDIV,,,$2.04 ,
4/1/2020,4/1/2020,4/1/2020,NOBL,Cash Div: R/D 2020-03-26 P/D 2020-04-01 - 4 shares at 0.343763,CDIV,,,$1.38 ,
3/31/2020,3/31/2020,3/31/2020,TERP,Cash Div: R/D 2020-03-27 P/D 2020-03-31 - 6 shares at 0.2014,CDIV,,,$1.21 ,
3/18/2020,3/18/2020,3/20/2020,MSFT,"Microsoft
CUSIP: 594918104",Buy,1,$136.30 ,($136.30),
3/18/2020,3/18/2020,3/18/2020,,ACH Deposit,ACH,,,$132.88 ,
3/13/2020,3/13/2020,3/13/2020,VNQ,Cash Div: R/D 2020-03-11 P/D 2020-03-13 - 3 shares at 0.6479,CDIV,,,$1.94 ,
3/12/2020,3/12/2020,3/12/2020,MSFT,Cash Div: R/D 2020-02-20 P/D 2020-03-12 - 2 shares at 0.51,CDIV,,,$1.02 ,
3/9/2020,3/9/2020,3/11/2020,MSFT,"Microsoft
CUSIP: 594918104",Buy,1,$150.90 ,($150.90),
3/9/2020,3/9/2020,3/9/2020,,ACH Deposit,ACH,,,$158.02 ,
3/9/2020,3/9/2020,3/9/2020,,ACH Deposit,ACH,,,$193.14 ,
1/2/2020,1/2/2020,1/2/2020,NOBL,Cash Div: R/D 2019-12-26 P/D 2020-01-02 - 4 shares at 0.440285,CDIV,,,$1.76 ,
12/23/2019,12/23/2019,12/23/2019,VNQ,Cash Div: R/D 2019-12-19 P/D 2019-12-23 - 3 shares at 0.9569,CDIV,,,$2.87 ,
12/16/2019,12/16/2019,12/16/2019,TERP,Cash Div: R/D 2019-12-02 P/D 2019-12-16 - 6 shares at 0.2014,CDIV,,,$1.21 ,
12/12/2019,12/12/2019,12/12/2019,MSFT,Cash Div: R/D 2019-11-21 P/D 2019-12-12 - 2 shares at 0.51,CDIV,,,$1.02 ,
11/22/2019,11/22/2019,11/22/2019,,ACH Deposit,ACH,,,$94.55 ,
10/2/2019,10/2/2019,10/2/2019,NOBL,Cash Div: R/D 2019-09-26 P/D 2019-10-02 - 4 shares at 0.363678,CDIV,,,$1.45 ,
9/27/2019,9/27/2019,9/27/2019,VNQ,Cash Div: R/D 2019-09-25 P/D 2019-09-27 - 3 shares at 0.744,CDIV,,,$2.23 ,
9/26/2019,9/26/2019,9/30/2019,TERP,"TerraForm Power
CUSIP: 88104R209",Buy,6,$17.88 ,($107.25),
9/24/2019,9/24/2019,9/26/2019,MSFT,"Microsoft
CUSIP: 594918104",Buy,1,$137.29 ,($137.29),
9/24/2019,9/24/2019,9/26/2019,NFLX,"Netflix
CUSIP: 64110L106",Sell,1,$262.38 ,$262.36 ,
9/23/2019,9/23/2019,9/23/2019,,ACH Deposit,ACH,,,$192.74 ,
9/12/2019,9/12/2019,9/12/2019,MSFT,Cash Div: R/D 2019-08-15 P/D 2019-09-12 - 1 shares at 0.46,CDIV,,,$0.46 ,
7/31/2019,7/31/2019,8/2/2019,VNQ,"Vanguard US REIT fund
CUSIP: 922908553",Buy,3,$89.60 ,($268.80),
7/31/2019,7/31/2019,8/2/2019,META,"Meta Platforms
CUSIP: 30303M102",Sell,1,$196.84 ,$196.82 ,
7/29/2019,7/29/2019,7/31/2019,ATVI,"Activision Blizzard
CUSIP: 00507V109",Sell,1,$48.00 ,$47.98 ,
7/29/2019,7/29/2019,7/31/2019,NOBL,"ProShares S&P 500 Dividend Aristocrats ETF
CUSIP: 74348A467",Buy,4,$70.85 ,($283.40),
7/16/2019,7/16/2019,7/16/2019,,ACH Deposit,ACH,,,$100.00 ,
7/15/2019,7/15/2019,7/15/2019,,ACH Deposit,ACH,,,$100.00 ,
7/12/2019,7/12/2019,7/12/2019,,ACH Deposit,ACH,,,$94.31 ,
7/1/2019,7/1/2019,7/3/2019,NFLX,"Netflix
CUSIP: 64110L106",Buy,1,$373.76 ,($373.76),
7/1/2019,7/1/2019,7/1/2019,,ACH Deposit,ACH,,,$87.49 ,
6/26/2019,6/26/2019,6/28/2019,META,"Meta Platforms
CUSIP: 30303M102",Buy,1,$187.49 ,($187.49),
6/26/2019,6/26/2019,6/26/2019,,ACH Deposit,ACH,,,$197.59 ,
6/25/2019,6/25/2019,6/27/2019,ATVI,"Activision Blizzard
CUSIP: 00507V109",Buy,1,$47.07 ,($47.07),
6/25/2019,6/25/2019,6/25/2019,,ACH Deposit,ACH,,,$48.25 ,
6/19/2019,6/19/2019,6/19/2019,,ACH Deposit,ACH,,,$100.00 ,
6/18/2019,6/18/2019,6/18/2019,,ACH Deposit,ACH,,,$100.00 ,
6/13/2019,6/13/2019,6/13/2019,MSFT,Cash Div: R/D 2019-05-16 P/D 2019-06-13 - 1 shares at 0.46,CDIV,,,$0.46 ,
5/30/2019,5/30/2019,6/3/2019,GRPN,"Groupon
CUSIP: 399473107",Sell,1,$3.52 ,$3.50 ,
5/30/2019,5/30/2019,6/3/2019,ZNGA,"Zynga
CUSIP: 98986T108",Sell,5,$6.35 ,$31.73 ,
5/8/2019,5/8/2019,5/10/2019,MSFT,"Microsoft
CUSIP: 594918104",Buy,1,$125.59 ,($125.59),
5/8/2019,5/8/2019,5/8/2019,,ACH Deposit,ACH,,,$70.00 ,
5/8/2019,5/8/2019,5/10/2019,ZNGA,"Zynga
CUSIP: 98986T108",Buy,5,$6.10 ,($30.49),
5/8/2019,5/8/2019,5/8/2019,GRPN,"Groupon
CUSIP: 399473107",REC,1,,,
5/8/2019,5/8/2019,5/8/2019,,ACH Deposit,ACH,,,$100.00 ,
,,,,,,,,,
,,,,,,,,,The data provided is for informational purposes only. Please consult a professional tax service or personal tax advisor if you need instructions on how to calculate cost basis or questions regarding your specific tax situation. Reminder: This data does not include Robinhood Crypto or Robinhood Spending activity.
