Activity Date,Process Date,Settle Date,Instrument,Description,Trans Code,Quantity,Price,Amount,
3/3/2023,3/3/2023,3/7/2023,VOO,"Vanguard S&P 500 ETF
CUSIP: 922908363
order batcher",Buy,0.081,$370.37 ,($30.00),
3/3/2023,3/3/2023,3/3/2023,,ACH Deposit,ACH,,,$75.00 ,
2/17/2023,2/17/2023,2/22/2023,VOOG,"Vanguard S&P 500 Growth ETF
CUSIP: 921932505
order batcher",Buy,0.134928,$222.34 ,($30.00),
2/17/2023,2/17/2023,2/22/2023,MSFT,"Microsoft
CUSIP: 594918104
order batcher",Buy,0.058495,$256.43 ,($15.00),
2/17/2023,2/17/2023,2/22/2023,VOO,"Vanguard S&P 500 ETF
CUSIP: 922908363
order batcher",Buy,0.080688,$371.80 ,($30.00),
2/17/2023,2/17/2023,2/17/2023,,ACH Deposit,ACH,,,$75.00 ,
2/17/2023,2/17/2023,2/22/2023,AAPL,"Apple
CUSIP: 037833100
order batcher",Buy,0.013925,$152.24 ,($2.12),
2/16/2023,2/16/2023,2/16/2023,AAPL,Cash Div: R/D 2023-02-13 P/D 2023-02-16 - 9.23133 shares at 0.23,CDIV,,,$2.12 ,
2/3/2023,2/3/2023,2/7/2023,VOOG,"Vanguard S&P 500 Growth ETF
CUSIP: 921932505
order batcher",Buy,0.132315,$226.73 ,($30.00),
2/3/2023,2/3/2023,2/7/2023,MSFT,"Microsoft
CUSIP: 594918104
order batcher",Buy,0.057975,$258.73 ,($15.00),
2/3/2023,2/3/2023,2/7/2023,VOO,"Vanguard S&P 500 ETF
CUSIP: 922908363
order batcher",Buy,0.079141,$379.07 ,($30.00),
2/3/2023,2/3/2023,2/3/2023,,ACH Deposit,ACH,,,$75.00 ,
2/1/2023,2/1/2023,2/3/2023,SPY,"SPDR S&P 500 ETF
CUSIP: 78462F103
order batcher",Buy,0.004411,$405.77 ,($1.79),
1/31/2023,1/31/2023,1/31/2023,SPY,Cash Div: R/D 2022-12-19 P/D 2023-01-31 - 1.004101 shares at 1.7814,CDIV,,,$1.79 ,
1/20/2023,1/20/2023,1/24/2023,VOOG,"Vanguard S&P 500 Growth ETF
CUSIP: 921932505
order batcher",Buy,0.139599,$214.90 ,($30.00),
1/20/2023,1/20/2023,1/24/2023,MSFT,"Microsoft
CUSIP: 594918104
order batcher",Buy,0.062982,$238.16 ,($15.00),
1/20/2023,1/20/2023,1/24/2023,VOO,"Vanguard S&P 500 ETF
CUSIP: 922908363
order batcher",Buy,0.083303,$360.13 ,($30.00),
1/20/2023,1/20/2023,1/20/2023,,ACH Deposit,ACH,,,$75.00 ,
1/6/2023,1/6/2023,1/10/2023,VOOG,"Vanguard S&P 500 Growth ETF
CUSIP: 921932505
order batcher",Buy,0.142863,$209.99 ,($30.00),
1/6/2023,1/6/2023,1/10/2023,MSFT,"Microsoft
CUSIP: 594918104
order batcher",Buy,0.06724,$223.08 ,($15.00),
1/6/2023,1/6/2023,1/10/2023,VOO,"Vanguard S&P 500 ETF
CUSIP: 922908363
order batcher",Buy,0.084552,$354.81 ,($30.00),
